00001Test                            0.00                                      0.00                                      0.00                  A11.00                 0.00                  0.00                  
000034390                            0.00                                      0.00                                      0.00                  I0.00                  11.00                 0.00                  
00080Repack Charge                   0.00                                      0.00                                      0.00                  I0.00                  0.00                  0.00                  
00086Freight - Full Load             0.00                                      0.00                                      0.00                  A198.00                0.00                  0.00                  
00087Freight - Package               0.00                                      0.00                  1                   0.00                  A0.27                  0.00                  0.00                  
00088Freight - Pallet              EA1.00                                      0.00                  1                   0.00                  A22.00                 0.00                  0.00                  
00090Rent                          EA1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00103Anise 36                      EA36.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00105Anise                         EA24.00                                     0.00                  1                   0.00                  A13.20                 18.50                 0.00                  
00150Artichoke 30 Ct               EA30.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00155Artichoke 24 Ct               EA24.00                                     0.00                  1                   0.00                  A15.95                 18.50                 0.00                  
00160Artichoke Globe 24            EA24.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00165Artichoke 42                  EA42.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00170Artichoke 36 Ct               EA36.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00180Artichoke 18 Ct               EA18.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00185Artichoke Mini                cs1.00                                      0.00                  1                   0.00                  A31.35                 0.00                  0.00                  
00200Arugala 3 Pkg                 EA3.00                                      0.00                  1                   0.00                  I4.67                  0.00                  0.00                  
00205Arrugula                      EA24.00                                     0.00                  1                   0.00                  A14.30                 18.00                 0.00                  
00207Arrugula 6 Ct                 EA6.00                                      0.00                  1                   0.00                  A4.62                  8.50                  0.00                  
00222Commissions                   1 1.00                                      0.00                                      0.00                  I0.00                  0.00                  0.00                  
00265Asparagus 11#                 LB11.00                                     0.00                  1                   0.00                  A18.26                 23.50                 0.00                  
00266Asparagus 15#                 lb15.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00268Asparagus 1 Lb.               LB1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00270Asparagus Tips                LB12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00275Asparagus White               lb11.00                                     0.00                  1                   0.00                  A25.30                 0.00                  0.00                  
00281\\ Freight Charge             EA1.00                                      0.00                  1                   0.00                  A0.00                  0.00                  0.00                  
00340Asparagus 30#                 LB30.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00345Asparagus 28#                 LB28.00                                     0.00                  1                   0.00                  A47.85                 0.00                  0.00                  
00440Empty Tomato Box              EA1.00                                      0.00                                      0.00                  A0.27                  0.00                  0.00                  
00441Empty Potato Bags             ea1.00                                      0.00                                      0.00                  A0.55                  0.00                  0.00                  
00442Box 1 Doz. (empty)            EA1.00                                      0.00                  1                   0.00                  A0.27                  0.00                  0.00                  
00445Box 2 Doz. (empty)            EA1.00                                      0.00                  1                   0.00                  A0.27                  0.00                  0.00                  
00446Box Large Vegetable           EA1.00                                      0.00                  1                   0.00                  A0.77                  0.00                  0.00                  
00447Box Roma (empty)              EA1.00                                      0.00                  1                   0.00                  A0.60                  0.00                  0.00                  
00450Basil - Big Box               EA15.00                                     0.00                  1                   0.00                  A18.70                 21.00                 0.00                  
00452Basil 1#                      EA1.00                                      0.00                  1                   0.00                  A6.23                  10.00                 0.00                  
00455Basil 03 Pkg                  EA3.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00457Basil 6 Ct                    EA6.00                                      0.00                  1                   0.00                  A3.74                  0.00                  0.00                  
00475Beans Italian                 LB26.00                                     0.00                  1                   0.00                  A10.56                 26.00                 0.00                  
00480Beans Fava                    LB25.00                                     0.00                  1                   0.00                  A39.60                 0.00                  0.00                  
00485Beans Green                   LB26.00                    1                0.00                  1                   0.00                  A22.82                 26.00                 0.00                  
00486Beans Cranberry               EA24.00                                     0.00                  1                   0.00                  A23.92                 0.00                  0.00                  
00490Beans Green 1/2 Crt           LB13.00                                     0.00                  1                   0.00                  A11.00                 15.00                 0.00                  
00500Beans Wax                     LB26.00                                     0.00                  1                   0.00                  A20.46                 26.00                 0.00                  
00505Beans Wax 1/2 Crt             LB13.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00520Beans Gr Cut 10# Fs           LB10.00                                     0.00                  1                   0.00                  A14.85                 23.00                 0.00                  
00525Beans Lima                    LB14.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00550Beet 12 Bu                    EA12.00                                     0.00                  1                   0.00                  A10.72                 13.50                 0.00                  
00560Beet Bch 24                   EA24.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00565Beet 06 Bu                    EA6.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00570Bean Mini French              LB5.00                                      0.00                  1                   0.00                  A14.30                 31.00                 0.00                  
00575Beet Loose 50#                LB50.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00580Beet Loose 25#                LB25.00                                     0.00                  1                   0.00                  A9.07                  13.00                 0.00                  
00590Bok Choy 30#                  LB30.00                                     0.00                  1                   0.00                  A12.65                 16.00                 0.00                  
00591Bok Choy 15#                  LB15.00                                     0.00                  1                   0.00                  A6.21                  10.00                 0.00                  
00592Bok Choy 1#                   LB1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00593Bok Choy 10 #                 LB10.00                                     0.00                                      0.00                  A4.67                  0.00                  0.00                  
00595Bok Choy 25#                  LB25.00                                     0.00                  1                   0.00                  I23.10                 0.00                  0.00                  
00597Bok Choy 2 Ct                 ea2.00                                      0.00                  1                   0.00                  A1.98                  0.00                  0.00                  
00600Broccoli 14 Ct Calif.         EA14.00                                     0.00                  1                   0.00                  A10.17                 12.50                 0.00                  
00602Broccoli 07 Ct                EA7.00                                      0.00                  1                   0.00                  A5.50                  10.00                 0.00                  
00605Broccoli 14 Ct Maine          EA14.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00612Broccoli Crown 8/14 Oz        EA8.00                                      0.00                  1                   0.00                  A6.60                  0.00                  0.00                  
00615Broccoli Crowns Calif. 20#    LB20.00                                     0.00                  1                   0.00                  A7.86                  12.00                 0.00                  
00617Broccoli Crown 8/2 Ct         EA8.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00620Broc-A-Flower                 EA12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00622Broccoli Florette 1#          LB1.00                                      0.00                  EA                  0.00                  I0.00                  0.00                  0.00                  
00625Broccoli Crowns Maine         lb20.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00630Broccoli 18 Ct                EA18.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00632Broccoli 1#                   LB1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00635Broccoli 09 Ct                EA9.00                                      0.00                  1                   0.00                  A7.04                  10.00                 0.00                  
00640Broccoli 18 Ct Andy Boy       EA18.00                                     0.00                  1                   0.00                  A11.60                 15.00                 0.00                  
00650Broccoli Florette 3#          EA1.00                                      0.00                  1                   0.00                  A4.29                  6.00                  0.00                  
00652Cauliflower Florette 3#       EA1.00                                      0.00                  1                   0.00                  A5.94                  7.25                  0.00                  
00653Broccoli 3 Ct                 ea3.00                                      0.00                  1                   0.00                  A2.47                  0.00                  0.00                  
00655Broccoli 01 Ct                EA1.00                                      0.00                  1                   0.00                  A0.82                  1.50                  0.00                  
00670Broccoli Rapi West            EA24.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00675Brussel Sprout 12/10          EA12.00                                     0.00                  1                   0.00                  A15.40                 0.00                  0.00                  
00680Broccoli Rapi Andy Boy        EA24.00                                     0.00                  1                   0.00                  A25.85                 28.00                 0.00                  
00681Broccolini                    ea1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00682Aspriration                   EA1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00685Brussel Sprout 06/10          EA6.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00690Brussel Sprout->25#           LB25.00                                     0.00                  1                   0.00                  A11.55                 15.00                 0.00                  
00717Cabbage Wrapped               LB40.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00725Cabbage Red Shredded 5#       EA1.00                                      0.00                  1                   0.00                  A6.32                  0.00                  0.00                  
00726Cabbage Shredded 4/5          EA4.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00740Cabbage Bag                   LB50.00                                     0.00                  1                   0.00                  A4.12                  8.50                  0.00                  
00750Cabbage Green 01#             LB1.00                                      0.00                  1                   0.00                  A0.16                  0.40                  0.00                  
00752Cabbage Green 10#             LB10.00                                     0.00                  1                   0.00                  A2.80                  0.00                  0.00                  
00755Cabbage N.Y. 50#              LB50.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00760Cabbage Green 25#             LB25.00                                     0.00                  1                   0.00                  A4.84                  6.00                  0.00                  
00762Cabbage Green 10/2 Ct         EA10.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00765Cabbage Green 04 Ct           EA4.00                                      0.00                  1                   0.00                  A3.02                  4.00                  0.00                  
00770Cabbage Green 50#             LB50.00                                     0.00                  1                   0.00                  A7.82                  11.00                 0.00                  
00775Cabbage Green Cello 12 Ct     EA12.00                                     0.00                  1                   0.00                  A7.75                  0.00                  0.00                  
00778Cabbage Bin                   LB99.00                                     0.00                  1                   0.00                  A127.63                0.00                  0.00                  
00780Cabbage Red                   LB50.00                                     0.00                  1                   0.00                  A8.80                  16.50                 0.00                  
00781Cabbage Red 1/2               LB25.00                                     0.00                  1                   0.00                  A4.95                  10.00                 0.00                  
00782Cabbage Red 2 Ct.             EA2.00                                      0.00                  1                   0.00                  A2.36                  0.00                  0.00                  
00785Cabbage Red 4 Ct              EA4.00                                      0.00                  1                   0.00                  A3.74                  7.50                  0.00                  
00788Cabbage Red 10#               LB10.00                                     0.00                  1                   0.00                  A3.90                  0.00                  0.00                  
00790Cabbage Celery                LB25.00                                     0.00                  1                   0.00                  A13.20                 17.00                 0.00                  
00791Cabbage Celery 1/2            LB13.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00792Cabbage Celery 10#            LB10.00                                     0.00                  1                   0.00                  A3.85                  0.00                  0.00                  
00795Cabbage Savoy                 LB30.00                                     0.00                  1                   0.00                  A14.30                 16.50                 0.00                  
00796Cabbage Savoy 1/2             LB15.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00798Cardone                       EA24.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00800Carrot Cal 1#/48              EA48.00                                     0.00                  1                   0.00                  A12.15                 16.00                 0.00                  
00810Carrot East 1#/48             EA48.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00815Carrot 4'' Peeled 25#         lb25.00                                     0.00                  1                   0.00                  A8.25                  0.00                  0.00                  
00820Carrot Cal 2#/24              EA24.00                                     0.00                  1                   0.00                  A11.99                 16.00                 0.00                  
00825Carrot East 2#/24             EA24.00                                     0.00                  2                   0.00                  I0.00                  0.00                  0.00                  
00827Carrot 12/2#                  EA12.00                                     0.00                  1                   0.00                  A5.88                  0.00                  0.00                  
00830Carrot Cal 3#/16              EA16.00                                     0.00                  1                   0.00                  A11.99                 16.00                 0.00                  
00833Carrot 3#                     EA1.00                                      0.00                  1                   0.00                  A1.37                  0.00                  0.00                  
00835Carrot East 3#/16             EA16.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00840Carrot Cal 5#/10              EA10.00                                     0.00                  1                   0.00                  A11.99                 16.00                 0.00                  
00843Carrot 5#                     EA1.00                                      0.00                  1                   0.00                  A1.70                  0.00                  0.00                  
00845Carrot Florida 5#/10          EA10.00                                     0.00                  1                   0.00                  A9.35                  12.00                 0.00                  
00850Carrot Cut/Cleaned 12/2#      EA12.00                                     0.00                  1                   0.00                  A17.10                 20.50                 0.00                  
00855Carrot 24 Ct Lrg Bu           EA24.00                                     0.00                  1                   0.00                  A13.20                 0.00                  0.00                  
00856Carrot 12 Ct Lrg Bu           EA12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00860Carrot Baby 200/1.6 Oz        EA0.00                                      0.00                  1                   0.00                  A16.50                 20.00                 0.00                  
00865Carrot Mini Bnch              EA24.00                                     0.00                  1                   0.00                  A14.30                 21.00                 0.00                  
00870Carrot Cut/Cleaned 24/1#      EA24.00                                     0.00                  1                   0.00                  A15.95                 20.50                 0.00                  
00875Carrot Stix 12/8 Oz           EA12.00                                     0.00                                      0.00                  A9.35                  0.00                  0.00                  
00890Carrot Jumbo Cal 50#          LB50.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00891Carrot Loose 25#              LB25.00                                     0.00                  1                   0.00                  A6.87                  9.00                  0.00                  
00892Carrot Loose 50#              LB50.00                                     0.00                  1                   0.00                  A9.07                  12.50                 0.00                  
00895Carrot 1#                     LB1.00                                      0.00                  1                   0.00                  A0.46                  0.70                  0.00                  
00897Carrot 1# 6 Ct                EA6.00                                      0.00                  1                   0.00                  A2.03                  0.00                  0.00                  
00900Carrot Shredded 5#            LB5.00                                      0.00                  1                   0.00                  A4.67                  7.00                  0.00                  
00905Carrot Peeled 5 Lb            LB5.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00955Cauliflower West 9 Ct         EA9.00                                      0.00                  1                   0.00                  A6.60                  0.00                  0.00                  
00960Cauliflower 16 Ct             EA16.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00965Cauliflower West 12 Ct        EA12.00                                     0.00                  1                   0.00                  A8.91                  12.50                 0.00                  
00970Cauliflower West 06 Ct        EA6.00                                      0.00                  1                   0.00                  A5.22                  9.00                  0.00                  
00972Cauliflower 1 Lb              LB1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00973Cauliflower 4 Ct              EA1.00                                      0.00                  1                   0.00                  A4.18                  0.00                  0.00                  
00975Cauliflower 3 Ct              EA3.00                                      0.00                  1                   0.00                  A3.24                  9.00                  0.00                  
00977Cauliflower Florette 1#       LB1.00                                      0.00                  EA                  0.00                  I0.00                  0.00                  0.00                  
00985Cauliflower T & A             EA12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
00990Cilantro                      EA24.00                                     0.00                  1                   0.00                  A8.80                  16.00                 0.00                  
00992Cilantro 6 Ct                 EA6.00                                      0.00                  1                   0.00                  A3.46                  0.00                  0.00                  
00995Cilantro 12 Ct                EA12.00                                     0.00                  1                   0.00                  A6.54                  9.00                  0.00                  
01000Cauliflower Jacket            EA12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01017Corn 15/3 Ct                  EA15.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01020Chives 1 Lb.                  LB1.00                                      0.00                  1                   0.00                  A11.18                 14.50                 0.00                  
01030Corn Stalk                    EA1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01065Corn White                    EA48.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01070Corn Tray 12/4                EA12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01072Corn Tray 12/3 Ct             EA12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01075Corn Yellow                   EA48.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01080Corn                          EA48.00                                     0.00                  1                   0.00                  A15.40                 16.50                 0.00                  
01095Corn Mini Indian              EA0.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01125Corn Indian                   EA12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01130Corn Strawberry Mini          EA12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01160Verdelli Fresh Cut Fruit      EA4.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01175Dandelion                     EA12.00                                     0.00                  1                   0.00                  A11.27                 0.00                  0.00                  
01176Verdelli Lettuce Salad 12/1#  EA12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01177Broccoli Slaw 9/1#            EA9.00                                      0.00                  1                   0.00                  A6.05                  0.00                  0.00                  
01178Broccoli Slaw 5#              LB5.00                                      0.00                  1                   0.00                  A10.45                 0.00                  0.00                  
01180Verdelli 3-Leaf Salad         EA6.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01181Verdelli Salad Mix 6/1#       EA6.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01182Verdelli Salad For 2 6/8 Oz   EA6.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01183Verdelli Euro Salad 6 Ct      EA6.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01185Radish Diakon                 LB20.00                                     0.00                  1                   0.00                  A14.30                 0.00                  0.00                  
01186Verdelli Cole Slaw 12/1#      EA12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01187Watercress 1 Bch              EA1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01188Sprout Alfalfa 5#             LB5.00                                      0.00                  1                   0.00                  A6.49                  0.00                  0.00                  
01189Alfalfa 01                    EA1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01190Verdelli Ital Salad 6 Ct      EA6.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01192Cantaloupe 4/3#               EA4.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01193Honeydew 4/3#                 EA4.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01195Verdelli Dome Melon Medley    EA8.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01199Dill 1/2 Crt                  EA1.00                                      0.00                  12                  0.00                  I6.60                  0.00                  0.00                  
01200Dill Pickling                 EA12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01201Dill Crate                    EA24.00                                     0.00                  1                   0.00                  A12.10                 16.00                 0.00                  
01202Dill 1 Only                   CT1.00                                      0.00                  1                   0.00                  A0.77                  1.75                  0.00                  
01203Dill 1 Lb                     LB1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01205Dill 12 Count                 EA12.00                                     0.00                  1                   0.00                  A7.31                  10.00                 0.00                  
01207Dill 6 Ct                     EA6.00                                      0.00                  1                   0.00                  A3.79                  0.00                  0.00                  
01215Wrap - Eggroll 6 Ct           EA6.00                                      0.00                  1                   0.00                  A9.35                  0.00                  0.00                  
01220Wrap - Wonton 6 Ct            EA6.00                                      0.00                  1                   0.00                  A9.35                  13.50                 0.00                  
01260Eggplant 1 Bu                 LB24.00                                     0.00                  1                   0.00                  A9.35                  14.00                 0.00                  
01262Eggplant 4 Ct                 EA4.00                                      0.00                  1                   0.00                  A2.58                  0.00                  0.00                  
01265Eggplant White                EA20.00                                     0.00                  1                   0.00                  A16.50                 0.00                  0.00                  
01270Eggplant Oriental             LB26.00                                     0.00                  1                   0.00                  A34.10                 0.00                  0.00                  
01275Eggplant Neon                 lb20.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01280Eggplant Italian              LB15.00                                     0.00                  1                   0.00                  A9.90                  0.00                  0.00                  
01282Eggplant Holland              CS1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01285Eggplant Exotic               LB15.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01290Eggplant 1/2 Crt              LB12.00                                     0.00                  1                   0.00                  A5.55                  8.50                  0.00                  
01295Eggplant 6 Ct                 EA6.00                                      0.00                  1                   0.00                  A4.12                  7.50                  0.00                  
01300Greens Collard Bulk           EA18.00                                     0.00                  1                   0.00                  A7.15                  11.50                 0.00                  
01302Greens Collard 8/3 Ct         EA8.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01305Greens Collard 8/12           EA8.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01308Greens Red/Green Chard        EA12.00                                     0.00                  1                   0.00                  A14.74                 0.00                  0.00                  
01310Greens Dandelion/Collard      EA12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01312Greens Combo Turnip/Mustard   VG12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01320Greens Kale Bulk 1/2          EA12.00                                     0.00                  1                   0.00                  A4.62                  7.50                  0.00                  
01322Greens Kale 6/2 Ct.           EA6.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01325Greens Kale Bulk              EA18.00                                     0.00                  1                   0.00                  A7.15                  11.50                 0.00                  
01326Greens Kale Cal               EA24.00                                     0.00                  1                   0.00                  A9.90                  0.00                  0.00                  
01327Kale Green 6 Ct               EA6.00                                      0.00                  1                   0.00                  A3.41                  0.00                  0.00                  
01332Greens Kale Flowering         EA18.00                                     0.00                  1                   0.00                  A11.38                 16.00                 0.00                  
01335Greens Kale 12/10             EA12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01337Kale Flowering 6 Ct           EA6.00                                      0.00                  1                   0.00                  A4.73                  0.00                  0.00                  
01340Greens Mustard - Slick        LB20.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01345Greens Mustard Bulk           LB20.00                                     0.00                  1                   0.00                  A20.90                 0.00                  0.00                  
01350Greens Turnip                 EA20.00                                     0.00                  1                   0.00                  A9.90                  0.00                  0.00                  
01355Swiss Chard Green             EA12.00                                     0.00                  1                   0.00                  A11.82                 18.00                 0.00                  
01358Kohlrabi                      EA12.00                                     0.00                  1                   0.00                  A16.50                 0.00                  0.00                  
01362Greens Beet                   EA12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
01363Beet Greens 8/10 Oz           EA8.00                                      0.00                  1                   0.00                  A12.10                 0.00                  0.00                  
01375Ginger Root 30#               LB30.00                                     0.00                  1                   0.00                  A24.75                 30.00                 0.00                  
